Department,Agency,Use Case ID (Added),Use Case Name,Short Description,Use Case Category,Use Case Type,AI Techniques,Date Published,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI60,Robotic microscopes and machine learning algorithms remotely and autonomously track lower trophic levels for improved ecosystem monitoring and assessment,"Phytoplankton are the foundation of marine food webs supporting fisheries and coastal communities. They respond rapidly to physical and chemical oceanography, and changes in phytoplankton communities can impact the structure and functioning of food webs. We use a robotic microscope called an Imaging Flow Cytobot (IFCB) to continuously collect images of phytoplankton from seawater. Automated taxonomic identification of imaged phytoplankton uses a supervised machine learning approach (random forest algorithm). We deploy the IFCB on fixed (docks) and roving (aboard survey ships) platforms to autonomously monitor phytoplankton communities in aquaculture areas in Puget Sound and in the California Current System. We map the distribution and abundance of phytoplankton functional groups and their relative food value to support fisheries and aquaculture and describe their changes in relation to ocean and climate variability and change.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI61,Edge AI survey payload development,"Continued support of multispectral aerial imaging payload running detection model pipelines in real-time. This is a nine camera (color, infrared, ultraviolet) payload controlled by dedicated on-board computers with GPUs. YOLO detection models run at a rate faster than image collection, allowing real-time processing of imagery as it comes off the cameras. Goals of effort are to reduce overall data burden (by TBs) and reduce the data processing timeline, expediting analysis and population assessment for arctic mammals.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI62,Ice seal detection and species classification in multispectral aerial imagery,"Refine and improve detection and classification pipelines with the goal of reducing false positive rates (to < 50%) while maintaining > 90% accuracy and significantly reducing or eliminating the labor intensive, post survey review process.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI63,First Guess Excessive Rainfall Outlook,Machine Learning Product that is a first guess for the WPC Excessive Rainfall Outlook - It is learned from the ERO with atmospheric variables. It is for the Day 4-7 products,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI64,"CoralNet: Ongoing operational use, improvement, and development, of machine vision point classification","CoralNet is our operational point annotation software for benthic photo quadrat annotation. Our development of our classifiers has allowed us to significantly reduce our human annotation, and we continue to co-develop (and co-fund) new developments in CoralNet,",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI65,Automated detection of hazardous low clouds in support of safe and efficient transportation,"This is a maintenance and sustainment project for the operational GOES-R fog/low stratus (FLS) products. The FLS products are derived from the combination of GOES-R satellite imagery and NWP data using machine learning. The FLS products, which are available in AWIPS, are routinely used by the NWS Aviation Weather Center and Weather Forecast Offices.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI66,The Development of ProbSevere v3 - An improved nowcasting model in support of severe weather warning operations,"ProbSevere is a ML model that utilizes NWP, satellite, radar, and lightning data to nowcast severe wind, severe hail, and tornadoes. ProbSevere, which was transitioned to NWS operations in October 2020, is a proven tool that enhances operational severe weather warnings. This project aims to develop the next version of ProbSevere, ProbSevere v3. ProbSevere v3 utilizes additional data sets and improved machine learning techniques to improve upon the operational version of ProbSevere. ProbSevere v3 was successfully demonstrated in the 2021 Hazardous Weather Testbed and a JTTI proposal was recently submitted to facilitate an operational update. The development is funded by GOES-R.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI67,"The VOLcanic Cloud Analysis Toolkit (VOLCAT): An application system for detecting, tracking, characterizing, and forecasting hazardous volcanic events","Volcanic ash is a major aviation hazard. The VOLcanic Cloud Analysis Toolkit (VOLCAT) consists of several AI powered satellite applications including: eruption detection, alerting, and volcanic cloud tracking. These applications are routinely utilized by Volcanic Ash Advisory Centers to issue volcanic ash advisories. Under this project, the VOLCAT products will be further developed, and subsequently transitioned to the NESDIS Common Cloud Framework, to help ensure adherence to new International Civil Aviation Organization requirements.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI68,SUVI Thematic Maps,"The GOES-16 Solar Ultraviolet Imager (SUVI) is NOAA's operational solar extremeultraviolet imager. The SUVI Level 2 Thematic Map files in these directories are produced by NOAA's National Centers for Environmental Information in Boulder, Colorado. These data have been processed from Level 2 High Dynamic Range (HDR) composite SUVI images. The FITS file headers are populated with metadata to facilitate interpretation by users of these observations. Please note that these files are considered to be experimental and thus will be improved in future releases. Users requiring assistance with these files can contact the NCEI SUVI team by emailing goesr.suvi@noaa.gov. The SUVI Thematic Maps product is a Level 2 data product that (presently) uses a machine learning classifier to generate a pixel-by-pixel map of important solar features digested from all six SUVI spectral channels.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI69,"BANTER, a machine learning acoustic event classifier",A supervised machine learning acoustic event classifier using hierarchical random forests,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI70,ProbSR (probability of subfreezing roads,A machine-learned algorithm that provides a 0-100% probability roads are subfreezing,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI71,VIAME: Video and Image Analysis for the Marine Environment Software Toolkit,"The Video and Image Analysis for the Marine Environment Software Toolkit, commonly known as VIAME, is an open-source, modular software toolkit that allows users to employ high-level, deep-learning algorithms for automated annotation of imagery using a low code/no code graphical user interface. VIAME is available free of charge to all NOAA users. The NOAA Fisheries Office of Science and Technology supports an annual maintenance contract covering technical and customer support by the developer, routine software updates, bug fixes, and development efforts that support broad, cross center application needs.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI72,ENSO Outlooks using observed/analyzed fields,LSTM model that uses ocean and atmospheric predictors throughout the tropical Pacific to forecast ONI values up to 1 year in advance. An extension of this was submitted to the cloud portfolio with the intent of adding a CNN layer that that uses reforecast data to improve the ONI forecasts.,,,,9/22/22,
